Part,Lot,BodyLength,Tower
90819847-03,27278956,41.079,Tower4
90819847-03,27278956,41.094,Tower4
90819847-03,27278956,41.01,Tower4
90819847-03,27278956,41.068,Tower4
90819847-03,27278956,41.077,Tower4
90819847-03,27278956,40.754,Tower4
90819847-03,27285134,40.334,Tower4
90819847-03,27285134,40.635,Tower4
90819847-03,27285134,40.272,Tower4
90819847-03,27285134,40.724,Tower4
90819847-03,27285134,40.611,Tower4
90819847-03,27285134,40.981,Tower4
90819847-03,27284536,40.763,Tower4
90819847-03,27284536,41.018,Tower4
90819847-03,27284536,40.949,Tower4
90819847-03,27284536,40.98,Tower4
90819847-03,27284536,40.689,Tower4
90819847-03,27284536,40.945,Tower4
90819847-03,27278955,40.723,Tower4
90819847-03,27278955,40.841,Tower4
90819847-03,27278955,40.803,Tower4
90819847-03,27278955,40.884,Tower4
90819847-03,27278955,40.504,Tower4
90819847-03,27278955,40.45,Tower4
90819847-03,26773890,41.189,Tower3
90819847-03,26773890,41.085,Tower3
90819847-03,26773890,41.166,Tower3
90819847-03,26773890,41.073,Tower3
90819847-03,26773890,41.148,Tower3
90819847-03,26773890,41.231,Tower3
90819847-03,26773473,41.258,Tower3
90819847-03,26773473,41.336,Tower3
90819847-03,26773473,41.23,Tower3
90819847-03,26773473,41.106,Tower3
90819847-03,26773473,41.244,Tower3
90819847-03,26773473,41.297,Tower3
90819847-03,26767443,41.166,Tower3
90819847-03,26767443,41.214,Tower3
90819847-03,26767443,41.332,Tower3
90819847-03,26767443,41.258,Tower3
90819847-03,26767443,41.227,Tower3
90819847-03,26767443,41.187,Tower3
90819847-03,26770033,41.075,Tower3
90819847-03,26770033,41.02,Tower3
90819847-03,26770033,41.221,Tower3
90819847-03,26770033,41.181,Tower3
90819847-03,26770033,41.28,Tower3
90819847-03,26770033,41.298,Tower3
90819847-03,26615436,41.144,Tower2
90819847-03,26615436,41.049,Tower2
90819847-03,26615436,41.269,Tower2
90819847-03,26615436,41.338,Tower2
90819847-03,26615436,41.283,Tower2
90819847-03,26615436,41.358,Tower2
90819847-03,26615435,41.281,Tower2
90819847-03,26615435,41.31,Tower2
90819847-03,26615435,41.41,Tower2
90819847-03,26615435,41.364,Tower2
90819847-03,26615435,41.291,Tower2
90819847-03,26615435,41.034,Tower2
90819847-03,26615427,41.11,Tower2
90819847-03,26615427,41.062,Tower2
90819847-03,26615427,41.08,Tower2
90819847-03,26615427,41.079,Tower2
90819847-03,26615427,41.131,Tower2
90819847-03,26615427,41.239,Tower2
90819847-03,26615433,41.181,Tower2
90819847-03,26615433,41.091,Tower2
90819847-03,26615433,41.129,Tower2
90819847-03,26615433,41.121,Tower2
90819847-03,26615433,41.344,Tower2
90819847-03,26615433,41.143,Tower2
90819847-03,26456597,41.245,Tower1
90819847-03,26456597,41.233,Tower1
90819847-03,26456597,41.059,Tower1
90819847-03,26456597,40.983,Tower1
90819847-03,26456597,41.273,Tower1
90819847-03,26456597,40.961,Tower1
90819847-03,26456596,41.065,Tower1
90819847-03,26456596,41.014,Tower1
90819847-03,26456596,41.08,Tower1
90819847-03,26456596,41.127,Tower1
90819847-03,26456596,41.228,Tower1
90819847-03,26456596,41.211,Tower1
90819847-03,26441351,41.033,Tower1
90819847-03,26441351,41.166,Tower1
90819847-03,26441351,41.147,Tower1
90819847-03,26441351,41.133,Tower1
90819847-03,26441351,41.192,Tower1
90819847-03,26441351,41.337,Tower1
90819847-03,26441352,41.381,Tower1
90819847-03,26441352,41.301,Tower1
90819847-03,26441352,41.136,Tower1
90819847-03,26441352,41.18,Tower1
90819847-03,26441352,40.991,Tower1
90819847-03,26441352,40.974,Tower1
