UGBL,OD,Class
19.27,1.5766,1
19.28,1.579,1
19.21,1.5782,1
19.29,1.5782,1
19.3,1.5776,1
19.29,1.5784,1
19.25,1.5788,1
19.26,1.5788,1
19.29,1.5776,1
19.22,1.5778,1
19.3,1.5776,1
19.26,1.5778,1
19.26,1.5774,1
19.27,1.578,1
19.29,1.5792,1
19.3,1.5784,1
19.3,1.5806,1
19.26,1.5796,1
19.26,1.5794,1
19.32,1.593,1
19.28,1.5794,1
19.23,1.579,1
19.26,1.5792,1
19.3,1.5794,1
19.23,1.578,1
19.26,1.5782,1
19.3,1.578,1
19.29,1.578,1
19.26,1.5798,1
19.26,1.5782,1
19.25,1.5774,1
19.28,1.5776,1
19.25,1.5778,1
19.26,1.5774,1
19.23,1.5766,1
19.21,1.577,1
19.2,1.5762,1
19.21,1.5774,1
19.29,1.5782,1
19.25,1.577,1
19.26,1.577,1
19.24,1.5784,1
19.25,1.5814,1
19.24,1.5758,1
19.25,1.5762,1
19.23,1.5764,1
19.3,1.5766,1
19.24,1.577,1
19.25,1.5756,1
19.23,1.5754,1
28.29,1.5772,2
28.25,1.5754,2
28.25,1.577,2
28.32,1.5764,2
28.29,1.577,2
28.3,1.577,2
28.29,1.577,2
28.26,1.5784,2
28.3,1.5784,2
28.27,1.578,2
28.32,1.579,2
28.29,1.573,2
28.26,1.573,2
28.24,1.5742,2
28.28,1.576,2
28.25,1.5804,2
28.31,1.5756,2
28.34,1.5758,2
28.27,1.5768,2
28.3,1.574,2
28.33,1.5762,2
28.33,1.5768,2
28.3,1.575,2
28.38,1.575,2
28.34,1.5752,2
28.4,1.576,2
28.44,1.574,2
28.42,1.576,2
28.39,1.5754,2
28.39,1.5756,2
28.37,1.5754,2
28.32,1.574,2
28.4,1.5742,2
28.22,1.576,2
28.21,1.5746,2
28.2,1.5746,2
28.27,1.574,2
28.24,1.5742,2
28.24,1.5736,2
28.24,1.5758,2
28.25,1.5772,2
28.24,1.578,2
28.26,1.576,2
28.25,1.5754,2
28.25,1.5778,2
28.33,1.578,2
28.26,1.5762,2
28.21,1.5766,2
28.32,1.5772,2
28.31,1.576,2
18.77,1.8076,3
18.77,1.808,3
18.76,1.8108,3
18.76,1.8083,3
18.74,1.8079,3
18.78,1.8088,3
18.77,1.8069,3
18.75,1.8067,3
18.75,1.8084,3
18.72,1.8072,3
18.8,1.8113,3
18.73,1.8076,3
18.7,1.8079,3
18.75,1.8083,3
18.79,1.8065,3
18.72,1.8082,3
18.77,1.8092,3
18.79,1.8058,3
18.79,1.8081,3
18.8,1.8101,3
18.73,1.8061,3
18.75,1.8079,3
18.8,1.8094,3
18.76,1.8108,3
18.82,1.8087,3
18.77,1.8077,3
18.73,1.8084,3
18.76,1.8102,3
18.78,1.8081,3
18.8,1.8079,3
18.73,1.8085,3
18.74,1.8083,3
18.78,1.8095,3
18.75,1.8064,3
18.74,1.8095,3
18.74,1.8096,3
18.76,1.8071,3
18.8,1.8068,3
18.73,1.8087,3
18.74,1.8073,3
18.71,1.8069,3
18.72,1.808,3
18.77,1.8104,3
18.75,1.814,3
18.75,1.8066,3
18.74,1.8057,3
18.73,1.8052,3
18.79,1.8087,3
18.8,1.8073,3
18.78,1.8092,3
26.78,1.7992,4
26.76,1.7978,4
26.725,1.799,4
26.7,1.7934,4
26.72,1.7986,4
26.78,1.8032,4
26.75,1.8074,4
26.77,1.8076,4
26.74,1.8084,4
26.74,1.806,4
26.78,1.8052,4
26.79,1.8078,4
26.74,1.8042,4
26.74,1.8086,4
26.72,1.8088,4
26.77,1.8032,4
26.74,1.8084,4
26.71,1.8062,4
26.71,1.8048,4
26.78,1.8022,4
26.79,1.8036,4
26.74,1.8046,4
26.76,1.8072,4
26.76,1.8068,4
26.78,1.8024,4
26.78,1.8078,4
26.72,1.8074,4
26.8,1.8052,4
26.79,1.8082,4
26.78,1.8084,4
26.76,1.8058,4
26.74,1.8074,4
26.76,1.8086,4
26.78,1.806,4
26.75,1.8042,4
26.79,1.807,4
26.74,1.8068,4
26.76,1.8046,4
26.79,1.806,4
26.8,1.8064,4
26.8,1.8168,4
26.85,1.816,4
26.85,1.8044,4
26.8,1.809,4
26.82,1.8026,4
26.84,1.8018,4
26.8,1.8032,4
26.84,1.8046,4
26.72,1.8018,4
26.75,1.805,4
